Date,Transaction Bucket,Property Type,Community,Property,Bedrooms,Size (Sqf),Amount (AED),AED/Sqf,Developer Group,Developer Raw,Times Sold
2026-02-10T00:00:00.000,Off-Plan Property,Apartment,Dubai Hills Estate,Greencrest Tower,2 B/R,1265.85,3443888,2720.62,Unknown,Unknown,1
2026-02-10T00:00:00.000,Off-Plan Property,Apartment,Al Mina,Sera 2 at Mina Rashid Building A,1 B/R,778.24,2150888,2763.79,Emaar,Emaar Properties PJSC,1
2026-02-10T00:00:00.000,Off-Plan Property,Apartment,Dubai Hills Estate,Palace Residences Hillside A,1 B/R,680.93,1747888,2566.91,Emaar,Emaar Properties PJSC,1
2026-02-10T00:00:00.000,Off-Plan Property,Apartment,Dubai Hills Estate,Palace Residences Hillside A,1 B/R,678.45,1912731,2819.25,Emaar,Emaar Properties PJSC,1
2026-02-10T00:00:00.000,Off-Plan Property,Apartment,Dubai Hills Estate,Greencrest Tower,2 B/R,1404.38,3097888,2205.88,Unknown,Unknown,1
2026-02-10T00:00:00.000,Off-Plan Property,Apartment,Dubai Hills Estate,Greencrest Tower,1 B/R,846.91,1810888,2138.23,Unknown,Unknown,1
2026-02-10T00:00:00.000,Off-Plan Property,Apartment,Al Wasl,City Walk Crestlane 5 Building B,2 B/R,1319.56,4014000,3041.93,Meraas,Meraas Development  L.L.C,1
2026-02-10T00:00:00.000,Off-Plan Property,Apartment,Al Wasl,City Walk Crestlane 5 Building A,2 B/R,1506.96,4987000,3309.31,Meraas,Meraas Development  L.L.C,1
2026-02-10T00:00:00.000,Off-Plan Property,Apartment,Al Wasl,City Walk Crestlane 4 Building A,1 B/R,785.13,2911000,3707.68,Meraas,Meraas Development  L.L.C,1
2026-02-10T00:00:00.000,Off-Plan Property,Apartment,Al Wasl,City Walk Crestlane 4 Building A,2 B/R,1586.72,5123000,3228.67,Meraas,Meraas Development  L.L.C,1
2026-02-10T00:00:00.000,Off-Plan Property,Apartment,Al Wasl,City Walk Crestlane 4 Building A,2 B/R,1321.93,4412000,3337.55,Meraas,Meraas Development  L.L.C,1
2026-02-10T00:00:00.000,Off-Plan Property,Apartment,Al Mina,Sera 2 at Mina Rashid Building B,2 B/R,1325.69,3148630,2375.08,Emaar,Emaar Properties PJSC,1
2026-02-10T00:00:00.000,Off-Plan Property,Apartment,Dubai Hills Estate,Greencrest Tower,1 B/R,780.28,1596888,2046.55,Unknown,Unknown,1
2026-02-09T00:00:00.000,Off-Plan Property,Apartment,Meydan City,Mercedes Benz Places Binghatti City Tower 1 - Project Maybach,0 B/R,362.32,1393000,3844.71,Unknown,Unknown,1
2026-02-09T00:00:00.000,Off-Plan Property,Apartment,Meydan City,Mercedes Benz Places Binghatti City Tower 1 - Project Maybach,0 B/R,362.32,1378000,3803.31,Unknown,Unknown,1
2026-02-09T00:00:00.000,Off-Plan Property,Apartment,Meydan City,Mercedes Benz Places Binghatti City Tower 1 - Project Maybach,0 B/R,389.55,1374000,3527.15,Unknown,Unknown,1
2026-02-09T00:00:00.000,Off-Plan Property,Apartment,Meydan City,Mercedes Benz Places Binghatti City Tower 1 - Project Maybach,0 B/R,389.33,1391000,3572.77,Unknown,Unknown,1
2026-02-09T00:00:00.000,Off-Plan Property,Apartment,Meydan City,Mercedes Benz Places Binghatti City Tower 1 - Project Maybach,0 B/R,362.32,1389000,3833.67,Unknown,Unknown,1
2026-02-09T00:00:00.000,Off-Plan Property,Apartment,Meydan City,Mercedes Benz Places Binghatti City Tower 1 - Project Maybach,0 B/R,362.32,1405000,3877.83,Unknown,Unknown,1
2026-02-09T00:00:00.000,Off-Plan Property,Apartment,Meydan City,Mercedes Benz Places Binghatti City Tower 3 - Maybach Ultimate Luxury Tower B,1 B/R,617.32,2371000,3840.82,Unknown,Unknown,1
2026-02-09T00:00:00.000,Off-Plan Property,Apartment,Meydan City,Mercedes Benz Places Binghatti City Tower 1 - Project Maybach,2 B/R,992.01,3236000,3262.06,Unknown,Unknown,1
2026-02-09T00:00:00.000,Off-Plan Property,Apartment,Meydan City,Mercedes Benz Places Binghatti City Tower 4 - Maybach 6 Tower A,0 B/R,395.68,1338000,3381.48,Unknown,Unknown,1
2026-02-09T00:00:00.000,Off-Plan Property,Apartment,Meydan City,Mercedes Benz Places Binghatti City Tower 3 - Maybach Ultimate Luxury Tower B,0 B/R,375.34,1368000,3644.69,Unknown,Unknown,1
2026-02-09T00:00:00.000,Off-Plan Property,Apartment,Business Bay,Binghatti Skyrise Tower 3,1 B/R,966.5,2800000,2897.05,Binghatti,Binghatti Holding Limited,2
2026-02-09T00:00:00.000,Off-Plan Property,Apartment,Business Bay,The Edge,2 B/R,878.45,1940000,2208.44,Select Group,Select Group,2
